dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,13.211221,3.476552,13.232316,4.073295,0.019667,-0.001637,0.120294
0.050000,13.413421,3.501339,13.436029,4.074274,0.019581,-0.001728,0.123671
0.050000,13.615584,3.526820,13.639792,4.075248,0.019490,-0.001821,0.127091
0.050000,13.817706,3.553002,13.843603,4.076218,0.019394,-0.001916,0.130556
0.050000,14.019784,3.579895,14.047462,4.077183,0.019293,-0.002014,0.134064
0.050000,14.221813,3.607508,14.251369,4.078142,0.019188,-0.002114,0.137616
0.050000,14.423789,3.635849,14.455324,4.079096,0.019077,-0.002215,0.141211
0.050000,14.625708,3.664928,14.659326,4.080044,0.018961,-0.002319,0.144850
0.050000,14.827566,3.694752,14.863375,4.080986,0.018840,-0.002425,0.148531
0.050000,15.029358,3.725330,15.067471,4.081922,0.018713,-0.002532,0.152255
0.050000,15.231081,3.756671,15.271614,4.082851,0.018581,-0.002642,0.156021
0.050000,15.432728,3.788783,15.475802,4.083773,0.018443,-0.002753,0.159829
0.050000,15.634297,3.821674,15.680037,4.084688,0.018300,-0.002865,0.163679
0.050000,15.835781,3.855353,15.884317,4.085595,0.018151,-0.002980,0.167569
0.050000,16.037177,3.889827,16.088641,4.086495,0.017996,-0.003095,0.171501
0.050000,16.242872,3.925992,16.297492,4.177004,1.810167,35.843418,0.179614
0.050000,16.461772,3.968118,16.520408,4.458327,5.626470,76.326057,0.200450
0.050000,16.678447,4.014379,16.741967,4.431179,-0.542957,-123.388550,0.220053
0.050000,16.892842,4.064423,16.962124,4.403151,-0.560568,-0.352204,0.238381
0.050000,17.104926,4.117899,17.180847,4.374452,-0.573969,-0.268020,0.255403
0.050000,17.314699,4.174457,17.398110,4.345269,-0.583678,-0.194193,0.271100
0.050000,17.522179,4.233755,17.613898,4.315756,-0.590244,-0.131321,0.285454
0.050000,17.727407,4.295458,17.828201,4.286045,-0.594217,-0.079455,0.298457
0.050000,17.930436,4.359240,18.041012,4.256239,-0.596128,-0.038221,0.310106
0.050000,18.131335,4.424783,18.252333,4.226415,-0.596475,-0.006931,0.320398
0.050000,18.330184,4.491779,18.462165,4.196630,-0.595709,0.015318,0.329336
0.050000,18.527068,4.559930,18.670511,4.166918,-0.594231,0.029553,0.336924
0.050000,18.722081,4.628946,18.877376,4.137299,-0.592388,0.036867,0.343165
0.050000,18.915317,4.698548,19.082764,4.107776,-0.590469,0.038368,0.348064
0.050000,19.106874,4.768462,19.286681,4.078340,-0.588712,0.035149,0.351625
0.050000,19.296850,4.838422,19.489130,4.048975,-0.587298,0.028275,0.353851
0.050000,19.485342,4.908171,19.690113,4.019657,-0.586359,0.018776,0.354745
0.050000,19.672445,4.977453,19.889631,3.990358,-0.585977,0.007651,0.354307
0.050000,19.858249,5.046022,20.087683,3.961049,-0.586183,-0.004124,0.352536
0.050000,20.042841,5.113633,20.284268,3.931701,-0.586962,-0.015582,0.349432
0.050000,20.226305,5.180047,20.479383,3.902289,-0.588250,-0.025751,0.344990
0.050000,20.408716,5.245027,20.673022,3.872792,-0.589932,-0.033640,0.339209
0.050000,20.590146,5.308342,20.865182,3.843200,-0.591843,-0.038232,0.332082
0.050000,20.769849,5.369490,21.055005,3.796446,-0.935082,-6.864768,0.323647
0.050000,20.944577,5.427197,21.239015,3.680203,-2.324851,-27.795382,0.314112
0.050000,21.111927,5.480624,21.414686,3.513431,-3.335451,-20.211999,0.303730
0.050000,21.272018,5.529846,21.582174,3.349750,-3.273606,1.236899,0.292643
0.050000,21.424955,5.574969,21.741628,3.189083,-3.213340,1.205315,0.280986
0.050000,21.570826,5.616130,21.893195,3.031345,-3.154772,1.171366,0.268894
0.050000,21.709711,5.653489,22.037017,2.876441,-3.098081,1.133816,0.256495
0.050000,21.841681,5.687224,22.173231,2.724266,-3.043490,1.091823,0.243912
0.050000,21.966798,5.717531,22.301966,2.574704,-2.991241,1.044963,0.231266
0.050000,22.085119,5.744614,22.423347,2.427625,-2.941581,0.993215,0.218668
0.050000,22.196696,5.768687,22.537492,2.282888,-2.894735,0.936924,0.206224
0.050000,22.301576,5.789966,22.644509,2.140344,-2.850897,0.876744,0.194036
0.050000,22.399803,5.808669,22.744500,1.999833,-2.810219,0.813557,0.182195
0.050000,22.491417,5.825011,22.837560,1.861193,-2.772800,0.748395,0.170785
0.050000,22.576453,5.839202,22.923773,1.724258,-2.738682,0.682350,0.159886
0.050000,22.654947,5.851447,23.003216,1.588866,-2.707857,0.616501,0.149566
0.050000,22.726929,5.861939,23.075959,1.454852,-2.680265,0.551847,0.139888
0.050000,22.792427,5.870863,23.142062,1.322062,-2.655802,0.489251,0.130909
0.050000,22.851467,5.878390,23.201579,1.190346,-2.634332,0.429412,0.122676
0.050000,22.904070,5.884678,23.254557,1.059561,-2.615690,0.372839,0.115233
0.050000,22.950258,5.889869,23.301036,0.929576,-2.599697,0.319846,0.108615
0.050000,22.990048,5.894092,23.341049,0.800268,-2.586169,0.270559,0.102853
0.050000,23.023455,5.897458,23.374626,0.671522,-2.574923,0.224928,0.097974
0.050000,23.050492,5.900061,23.401787,0.543232,-2.565786,0.182746,0.093997
0.050000,23.071168,5.901979,23.422552,0.415302,-2.558602,0.143670,0.090939
0.050000,23.085492,5.903270,23.436934,0.287640,-2.553240,0.107246,0.088812
0.050000,23.093469,5.903975,23.444942,0.160161,-2.549593,0.072934,0.087624
0.050000,23.095871,5.904186,23.447354,0.048229,-2.238641,6.219039,0.087266
0.050000,23.095871,5.904186,23.447354,0.000000,-0.964572,25.481391,0.087266
