dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,12.557176,5.614822,12.574961,3.928673,-0.019829,0.001462,0.113676
0.050000,12.752256,5.637418,12.771345,3.927685,-0.019751,0.001548,0.116963
0.050000,12.947211,5.660653,12.967680,3.926701,-0.019669,0.001637,0.120294
0.050000,13.142039,5.684537,13.163966,3.925722,-0.019583,0.001728,0.123671
0.050000,13.336736,5.709076,13.360203,3.924748,-0.019492,0.001821,0.127091
0.050000,13.531299,5.734279,13.556392,3.923778,-0.019396,0.001916,0.130556
0.050000,13.725726,5.760154,13.752533,3.922813,-0.019295,0.002014,0.134064
0.050000,13.920012,5.786709,13.948626,3.921854,-0.019190,0.002113,0.137616
0.050000,14.114155,5.813951,14.144671,3.920900,-0.019079,0.002215,0.141211
0.050000,14.308151,5.841888,14.340668,3.919952,-0.018963,0.002319,0.144850
0.050000,14.501997,5.870529,14.536619,3.919009,-0.018842,0.002424,0.148531
0.050000,14.695690,5.899880,14.732522,3.918074,-0.018715,0.002532,0.152255
0.050000,14.889225,5.929949,14.928380,3.917145,-0.018583,0.002641,0.156021
0.050000,15.082600,5.960743,15.124191,3.916222,-0.018446,0.002752,0.159829
0.050000,15.275810,5.992270,15.319956,3.915307,-0.018302,0.002865,0.163679
0.050000,15.468852,6.024538,15.515676,3.914400,-0.018153,0.002980,0.167569
0.050000,15.661721,6.057552,15.711351,3.913500,-0.017999,0.003095,0.171501
0.050000,15.849843,6.090600,15.902354,3.820052,-1.868945,-37.018926,0.179614
0.050000,16.023728,6.124068,16.079430,3.541528,-5.570484,-74.030792,0.200450
0.050000,16.198229,6.161329,16.257865,3.568693,0.543290,122.275491,0.220053
0.050000,16.373357,6.202211,16.437702,3.596737,0.560890,0.351993,0.238381
0.050000,16.549128,6.246534,16.618974,3.625451,0.574276,0.267725,0.255403
0.050000,16.725559,6.294106,16.801707,3.654649,0.583968,0.193831,0.271100
0.050000,16.902675,6.344730,16.985915,3.684175,0.590513,0.130908,0.285454
0.050000,17.080505,6.398199,17.171610,3.713898,0.594463,0.079006,0.298457
0.050000,17.259086,6.454303,17.358796,3.743716,0.596351,0.037748,0.310106
0.050000,17.438458,6.512825,17.547473,3.773549,0.596673,0.006443,0.320398
0.050000,17.618671,6.573544,17.737641,3.803343,0.595882,-0.015812,0.329336
0.050000,17.799780,6.636237,17.929294,3.833062,0.594380,-0.030049,0.336924
0.050000,17.981848,6.700674,18.122428,3.862688,0.592512,-0.037361,0.343165
0.050000,18.164943,6.766624,18.317039,3.892216,0.590569,-0.038857,0.348064
0.050000,18.349141,6.833853,18.513122,3.921656,0.588787,-0.035633,0.351625
0.050000,18.534521,6.902122,18.710673,3.951023,0.587350,-0.028755,0.353851
0.050000,18.721170,6.971188,18.909690,3.980343,0.586387,-0.019252,0.354745
0.050000,18.909176,7.040805,19.110172,4.009642,0.585981,-0.008125,0.354307
0.050000,19.098635,7.110722,19.312120,4.038950,0.586163,0.003651,0.352536
0.050000,19.289641,7.180681,19.515534,4.068296,0.586919,0.015107,0.349432
0.050000,19.482292,7.250420,19.720420,4.097705,0.588182,0.025273,0.344990
0.050000,19.676686,7.319668,19.926780,4.127197,0.589840,0.033158,0.339209
