dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,13.277730,4.592938,13.300000,4.000000,0.000000,0.000000,0.123671
0.050000,13.476160,4.617948,13.500000,4.000000,0.000000,0.000000,0.127091
0.050000,13.674503,4.643641,13.700000,4.000000,0.000000,0.000000,0.130556
0.050000,13.872755,4.670025,13.900000,4.000000,0.000000,0.000000,0.134064
0.050000,14.070912,4.697108,14.100000,4.000000,0.000000,0.000000,0.137616
0.050000,14.268972,4.724900,14.300000,4.000000,0.000000,0.000000,0.141211
0.050000,14.466930,4.753408,14.500000,4.000000,0.000000,0.000000,0.144850
0.050000,14.664782,4.782640,14.700000,4.000000,0.000000,0.000000,0.148531
0.050000,14.862524,4.812605,14.900000,4.000000,0.000000,0.000000,0.152255
0.050000,15.060153,4.843310,15.100000,4.000000,0.000000,0.000000,0.156021
0.050000,15.257664,4.874763,15.300000,4.000000,0.000000,0.000000,0.159829
0.050000,15.455053,4.906972,15.500000,4.000000,0.000000,0.000000,0.163679
0.050000,15.652316,4.939945,15.700000,4.000000,0.000000,0.000000,0.167569
0.050000,15.849449,4.973689,15.900000,4.000000,0.000000,0.000000,0.171501
0.050000,16.046358,5.008296,16.100000,4.000000,0.000000,0.000000,0.179614
0.050000,16.242750,5.046093,16.300000,4.000000,0.000000,0.000000,0.200450
0.050000,16.438338,5.087854,16.500000,4.000000,0.000000,0.000000,0.220053
0.050000,16.633099,5.133317,16.700000,4.000000,0.000000,0.000000,0.238381
0.050000,16.827027,5.182216,16.900000,4.000000,0.000000,0.000000,0.255403
0.050000,17.020129,5.234282,17.100000,4.000000,0.000000,0.000000,0.271100
0.050000,17.212427,5.289242,17.300000,4.000000,0.000000,0.000000,0.285454
0.050000,17.403956,5.346829,17.500000,4.000000,0.000000,0.000000,0.298457
0.050000,17.594761,5.406771,17.700000,4.000000,0.000000,0.000000,0.310106
0.050000,17.784896,5.468804,17.900000,4.000000,0.000000,0.000000,0.320398
0.050000,17.974427,5.532662,18.100000,4.000000,0.000000,0.000000,0.329336
0.050000,18.163424,5.598083,18.300000,4.000000,0.000000,0.000000,0.336924
0.050000,18.351964,5.664810,18.500000,4.000000,0.000000,0.000000,0.343165
0.050000,18.540130,5.732586,18.700000,4.000000,0.000000,0.000000,0.348064
0.050000,18.728008,5.801157,18.900000,4.000000,0.000000,0.000000,0.351625
0.050000,18.915686,5.870272,19.100000,4.000000,0.000000,0.000000,0.353851
0.050000,19.103256,5.939679,19.300000,4.000000,0.000000,0.000000,0.354745
0.050000,19.290811,6.009129,19.500000,4.000000,0.000000,0.000000,0.354307
0.050000,19.478442,6.078372,19.700000,4.000000,0.000000,0.000000,0.352536
0.050000,19.666241,6.147157,19.900000,4.000000,0.000000,0.000000,0.349432
0.050000,19.854298,6.215233,20.100000,4.000000,0.000000,0.000000,0.344990
0.050000,20.042701,6.282348,20.300000,4.000000,0.000000,0.000000,0.339209
0.050000,20.231533,6.348244,20.500000,4.000000,0.000000,0.000000,0.332082
0.050000,20.420021,6.412380,20.699101,3.964060,-0.718807,-14.376138,0.323647
0.050000,20.604708,6.473376,20.893601,3.815912,-2.962963,-44.883121,0.314112
0.050000,20.782937,6.530275,21.080693,3.667763,-2.962963,-0.000000,0.303730
0.050000,20.954686,6.583079,21.260377,3.519615,-2.962963,0.000000,0.292643
0.050000,21.119921,6.631829,21.432654,3.371467,-2.962963,-0.000000,0.280986
0.050000,21.278594,6.676602,21.597524,3.223319,-2.962963,0.000000,0.268894
0.050000,21.430650,6.717502,21.754986,3.075171,-2.962963,-0.000000,0.256495
0.050000,21.576029,6.754665,21.905041,2.927023,-2.962963,0.000000,0.243912
0.050000,21.714667,6.788246,22.047688,2.778874,-2.962963,-0.000000,0.231266
0.050000,21.846497,6.818421,22.182928,2.630726,-2.962963,0.000000,0.218668
0.050000,21.971453,6.845379,22.310761,2.482578,-2.962963,-0.000000,0.206224
0.050000,22.089473,6.869324,22.431186,2.334430,-2.962963,0.000000,0.194036
0.050000,22.200496,6.890462,22.544204,2.186282,-2.962963,-0.000000,0.182195
0.050000,22.304465,6.909008,22.649814,2.038134,-2.962963,0.000000,0.170785
0.050000,22.401328,6.925172,22.748017,1.889986,-2.962963,0.000000,0.159886
0.050000,22.491038,6.939167,22.838813,1.741837,-2.962963,-0.000000,0.149566
0.050000,22.573554,6.951194,22.922201,1.593689,-2.962963,0.000000,0.139888
0.050000,22.648839,6.961451,22.998182,1.445541,-2.962963,0.000000,0.130909
0.050000,22.716861,6.970123,23.066755,1.297393,-2.962963,0.000000,0.122676
0.050000,22.777595,6.977383,23.127921,1.149245,-2.962963,0.000000,0.115233
0.050000,22.831017,6.983387,23.181680,1.001097,-2.962963,0.000000,0.108615
0.050000,22.877109,6.988279,23.228031,0.852949,-2.962963,-0.000000,0.102853
0.050000,22.915857,6.992183,23.266975,0.704800,-2.962963,0.000000,0.097974
0.050000,22.947248,6.995206,23.298511,0.556652,-2.962963,0.000000,0.093997
0.050000,22.971274,6.997434,23.322640,0.408504,-2.962963,0.000000,0.090939
0.050000,22.987928,6.998934,23.339361,0.260356,-2.962963,0.000000,0.088812
0.050000,22.997206,6.999755,23.348675,0.112208,-2.962963,0.000000,0.087624
0.050000,23.000000,7.000000,23.351481,0.000000,-2.244156,14.376138,0.087266
0.050000,23.000000,7.000000,23.351481,0.000000,0.000000,44.883121,0.087266
